"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","LOC729737",174.688947822358,-1.8284190912451,0.600355965149608,-3.04555829771668,0.00232248748963043,0.00853787483705795
"2","LINC01128",197.900202429652,-1.09040564686501,0.231699578909643,-4.70611837965506,2.52477942317773e-06,1.89758850121152e-05
"3","LOC107985728",6.41879398087045,-2.9919937677916,1.02526972723605,-2.91825037676427,0.00352001584297767,0.0122710673982463
"4","SAMD11",11.4941334205044,-2.79611130820187,0.909687198695893,-3.07370633797014,0.0021141742916321,0.00786561375633956
"5","PLEKHN1",194.591133664476,3.66169830416142,0.622119684526715,5.88584221852279,3.96031999068279e-09,4.88497091499562e-08
"6","HES4",320.951136634826,4.47387071073424,0.97220004181471,4.60180057427616,4.18854152891488e-06,3.00246773852952e-05
"7","ISG15",17598.0611939083,6.94078928033807,0.64367338529777,10.7830919203335,4.13740322962725e-27,2.7783942990878e-25
"8","AGRN",19483.7232631427,1.92421977933524,0.230732919232927,8.33959794611154,7.45435493828534e-17,2.2143945447794e-15
"9","LOC124903820",24.9203250405539,1.65435509033645,0.469054649768931,3.5269985941967,0.000420298994989276,0.00189852850146777
"10","TNFRSF4",335.583925250465,2.1056519348135,0.302645049043564,6.95749671593142,3.46372021268283e-12,6.39284296371256e-11
"11","PUSL1",175.261066173304,-1.26002189934085,0.216418274358232,-5.82216036551129,5.80917674382895e-09,6.9913594717325e-08
"12","ATAD3B",408.863500271485,-1.23467290415177,0.354481163554175,-3.48304234778636,0.000495749938136325,0.00219935027428846
"13","ATAD3A",362.471208894233,-1.74751042094037,0.287568971834038,-6.07683927022868,1.22574511342106e-09,1.64732472348687e-08
"14","FNDC10",474.960896172024,-1.96328344422728,0.283940984846693,-6.9144066866124,4.69825544464144e-12,8.51135626069666e-11
"15","NADK",7541.76649228993,1.71436969817591,0.290855383640345,5.89423402351666,3.7642337737051e-09,4.66647284899005e-08
"16","TMEM52",2.40554873929106,-4.52455246834249,1.52247954345263,-2.97183137060867,0.00296029226769346,0.0105623719956332
"17","LOC112268219",17.6040667125228,-1.45390561394659,0.444807147585125,-3.26862016907754,0.00108073274231709,0.00439282062610589
"18","LOC100129534",11.0028182287182,-1.82511526034856,0.674806635637051,-2.70464924907794,0.00683765455737625,0.0217673079609124
"19","PEX10",469.325472610278,-1.39408268090913,0.183265195824669,-7.60691452971168,2.80716817517096e-14,6.53927447449993e-13
"20","MEGF6",692.612128672351,-1.00791269039122,0.260584410339272,-3.86789328294409,0.000109779685994687,0.000573838236933687
"21","TP73",7.92521658858536,-5.48920042119815,1.17707938124499,-4.66340716578711,3.1101652282921e-06,2.2932462927922e-05
"22","SMIM1",11.3070937825356,1.52565675181167,0.52201583956146,2.92262539982189,0.00347093822960627,0.0121221179978931
"23","KCNAB2",11630.8567431255,-3.3034354617873,0.22345746014378,-14.7832856404157,1.87777833217952e-49,3.95023245879725e-47
"24","LOC124903831",46.2032713952602,-2.94280081090077,0.527059309238584,-5.58343389314588,2.35815438239224e-08,2.59699309548068e-07
"25","RPL22",883.082680460926,-1.43339232742884,0.204323681194041,-7.01530199070551,2.29452809852049e-12,4.34380085207516e-11
"26","RNF207",40.4743484363623,1.98618908458388,0.816601996840712,2.43226087159729,0.0150048958428698,0.0424918863594237
"27","ACOT7",759.265682186063,-1.50709268863849,0.236548861518077,-6.37116864129703,1.87593226983899e-10,2.79640055495304e-09
"28","HES2",48.9679652074973,-2.73674998650748,0.531751320956266,-5.1466726619238,2.6514741279666e-07,2.43921421785629e-06
"29","THAP3",318.863350727175,1.23323511802095,0.366548284728563,3.36445475098646,0.000766950592059195,0.00325338547446345
"30","PER3",882.319898482632,-2.84418325967044,0.299670378188969,-9.49103904382876,2.28742702053238e-21,9.99101598629144e-20
"31","TNFRSF9",555.216234986937,2.45632412551152,0.576770586891368,4.25875414131365,2.05569414841119e-05,0.000127191448270244
"32","RERE-AS1",7.44033218181003,3.19851313400184,1.00144572171137,3.1938956497172,0.00140366845469676,0.00549734590844007
"33","GPR157",1446.63082110748,2.5052789627043,0.401488436104786,6.23997788581497,4.37632759109934e-10,6.23944464855492e-09
"34","H6PD",11098.6902427689,1.22787469014383,0.240784026938768,5.0994856500846,3.40577687293449e-07,3.06743101845424e-06
"35","TMEM201",260.792728484304,-1.89694410067752,0.218325817796605,-8.68859267228184,3.66956807784586e-18,1.21431485542328e-16
"36","PIK3CD-AS1",11.9177951727833,3.19754138051013,0.81526080819496,3.92210854289646,8.77774307926272e-05,0.000468449265653845
"37","CTNNBIP1",478.824712284843,-1.20878551855187,0.307635217321589,-3.92928198883113,8.51998808623191e-05,0.000455991885736649
"38","RBP7",41.7599048915907,-3.50419966506967,0.671935515807894,-5.21508326711445,1.83734681948343e-07,1.73676029484046e-06
"39","PGD",24262.0828136749,1.00397767593613,0.365957170389938,2.74342944248467,0.00608011130212768,0.0196870699865972
"40","CASZ1",320.747799415104,1.98981103013794,0.373958434669455,5.32094170277708,1.03231482084469e-07,1.02170918610341e-06
"41","CIROZ",49.2469039283051,-3.54942558344083,0.42635856468526,-8.32497779436197,8.43445515646351e-17,2.48406753579503e-15
"42","SRM",898.604908364604,-2.32054588572479,0.265534501492616,-8.73915017702256,2.34870480557143e-18,7.96396353152313e-17
"43","FBXO6",1300.32681830262,2.94273370606945,0.390486287080275,7.53607438579397,4.84330374799966e-14,1.10209216411436e-12
"44","DRAXIN",104.087311873652,-3.01736807912105,0.597172568005114,-5.05275734483371,4.35477014709778e-07,3.83666416036615e-06
"45","AGTRAP",1610.31086161477,1.32882945413615,0.194220697589882,6.84185295710409,7.81753113477197e-12,1.37279575702265e-10
"46","TNFRSF8",133.677721158828,2.19775991083601,0.75697938411081,2.9033286202604,0.00369218988127091,0.0127951229773544
"47","LINC02766",23.6570501908183,-1.93685431144893,0.557774537487509,-3.47246814129141,0.0005156962155638,0.00227657241543111
"48","DHRS3",2196.98091845591,-1.07902148643172,0.35766732118337,-3.01682994929951,0.00255433061325693,0.00928749204989502
"49","LRRC38",72.2573197953425,9.82207740074426,2.17716443016158,4.51140817141464,6.43986620830677e-06,4.46716964167067e-05
"50","PDPN",1023.64545107742,6.17004987761451,1.22191270722524,5.04950136055601,4.4296478292338e-07,3.89265215888678e-06
"51","KAZN",75.5159587517786,-2.66210664341688,0.518847332853344,-5.13080915107901,2.88499306754579e-07,2.63289141569385e-06
"52","LOC124903853",12.1715453012941,3.67296832839428,0.804785181934045,4.56391147705711,5.02092565725655e-06,3.53885139658123e-05
"53","DDI2",2207.37804351753,-1.2851274085398,0.18700133662387,-6.87228996188767,6.31793658331773e-12,1.11899124228246e-10
"54","UQCRHL",22.1551958868533,-1.05145036148295,0.444815648069547,-2.36378905743566,0.0180891090014393,0.0496991695310141
"55","ZBTB17",1772.01952496531,1.87172762139627,0.194860015551928,9.60549867603533,7.57901598794713e-22,3.42651301770873e-20
"56","HSPB7",85.205339538807,-2.05238159739158,0.661847586814008,-3.10098826116644,0.00192875936734352,0.0072666855111758
"57","ARHGEF10L",4127.377317835,1.61574683477546,0.167604452397312,9.64023814203503,5.40624103706614e-22,2.47128747716531e-20
"58","IFFO2",503.04256192359,1.05870543664932,0.251320401205266,4.2125726028291,2.52478522459981e-05,0.000152744677618693
"59","UBR4",14417.2254955317,1.10423719534206,0.150553914677556,7.33449673299448,2.22556196340233e-13,4.72038944830271e-12
"60","MRTO4",791.361393863871,-2.6136460529618,0.246238968398464,-10.614266579985,2.55795302020243e-26,1.54195203112553e-24
"61","AKR7A3",18.2499174224833,-3.13784290923111,0.588834758747973,-5.32890231531685,9.88081194602827e-08,9.83121713703276e-07
"62","LOC100506730",34.3902444034846,-3.04754851635627,0.43235545421589,-7.04871070004942,1.80583152338264e-12,3.46962000802017e-11
